Tintle,Abstract,Matched Search Term 1,Matched Search Term 2,Matched Search Term 4
" ""Leveraging Deep Representations of Radiology Reports in Survival Analysis for Predicting Heart Failure Patient Mortality"","," ""utilizing clinical texts in survival analysis is difficult because they are largely unstructured. current automatic extraction models fail to capture textual information comprehensively since their labels are limited in scope. furthermore, they typically require a large amount of data and high-quality expert annotations for training. in this work, we present a novel method of using bert-based hidden layer representations of clinical texts as covariates for proportional hazards models to predict patient survival outcomes. we show that hidden layers yield notably more accurate predictions than predefined features, outperforming the previous baseline model by 5.7{\%} on average across c-index and time-dependent auc. we make our work publicly available at \url{https://github.com/bionlplab/heart_failure_mortality}."",",clinical text,nlp,annotat
" ""Paragraph-level Simplification of Medical Texts"","," ""we consider the problem of learning to simplify medical texts. this is important because most reliable, up-to-date information in biomedicine is dense with jargon and thus practically inaccessible to the lay audience. furthermore, manual simplification does not scale to the rapidly growing body of biomedical literature, motivating the need for automated approaches. unfortunately, there are no large-scale resources available for this task. in this work we introduce a new corpus of parallel texts in english comprising technical and lay summaries of all published evidence pertaining to different clinical topics. we then propose a new metric based on likelihood scores from a masked language model pretrained on scientific texts. we show that this automated measure better differentiates between technical and lay summaries than existing heuristics. we introduce and evaluate baseline encoder-decoder transformer models for simplification and propose a novel augmentation to these in which we explicitly penalize the decoder for producing {``}jargon{''} terms; we find that this yields improvements over baselines in terms of readability."",",medical text,summar,evalu
" ""{BBAEG}: Towards {BERT}-based Biomedical Adversarial Example Generation for Text Classification"","," ""healthcare predictive analytics aids medical decision-making, diagnosis prediction and drug review analysis. therefore, prediction accuracy is an important criteria which also necessitates robust predictive language models. however, the models using deep learning have been proven vulnerable towards insignificantly perturbed input instances which are less likely to be misclassified by humans. recent efforts of generating adversaries using rule-based synonyms and bert-mlms have been witnessed in general domain, but the ever-increasing biomedical literature poses unique challenges. we propose bbaeg (biomedical bert-based adversarial example generation), a black-box attack algorithm for biomedical text classification, leveraging the strengths of both domain-specific synonym replacement for biomedical named entities and bert-mlm predictions, spelling variation and number replacement. through automatic and human evaluation on two datasets, we demonstrate that bbaeg performs stronger attack with better language fluency, semantic coherence as compared to prior work."",",medical text,generat,challeng
" ""Discovering Better Model Architectures for Medical Query Understanding"","," ""in developing an online question-answering system for the medical domains, natural language inference (nli) models play a central role in question matching and intention detection. however, which models are best for our datasets? manually selecting or tuning a model is time-consuming. thus we experiment with automatically optimizing the model architectures on the task at hand via neural architecture search (nas). first, we formulate a novel architecture search space based on the previous nas literature, supporting cross-sentence attention (cross-attn) modeling. second, we propose to modify the enas method to accelerate and stabilize the search results. we conduct extensive experiments on our two medical nli tasks. results show that our system can easily outperform the classical baseline models. we compare different nas methods and demonstrate our approach provides the best results."",",medical domain,natural languag,question-answ
" ""{E}vent{P}lus: A Temporal Event Understanding Pipeline"","," ""we present eventplus, a temporal event understanding pipeline that integrates various state-of-the-art event understanding components including event trigger and type detection, event argument detection, event duration and temporal relation extraction. event information, especially event temporal knowledge, is a type of common sense knowledge that helps people understand how stories evolve and provides predictive hints for future events. eventplus as the first comprehensive temporal event understanding pipeline provides a convenient tool for users to quickly obtain annotations about events and their temporal information for any user-provided document. furthermore, we show eventplus can be easily adapted to other domains (e.g., biomedical domain). we make eventplus publicly available to facilitate event-related information extraction and downstream applications."",",medical domain,relation extract,annotat
" ""{F}uzzy{BIO}: A Proposal for Fuzzy Representation of Discontinuous Entities"","," ""discontinuous entities pose a challenge to named entity recognition (ner). these phenomena occur commonly in the biomedical domain. as a solution, expansions of the bio representation scheme that can handle these entity types are commonly used (i.e. biohd). however, the extra tag types make the ner task more difficult to learn. in this paper we propose an alternative; a fuzzy continuous bio scheme (fuzzybio). we focus on the task of adverse drug response extraction and normalization to compare fuzzybio to biohd. we find that fuzzybio improves recall of ner for two of three data sets and results in a higher percentage of correctly identified disjoint and composite entities for all data sets. using fuzzybio also improves end-to-end performance for continuous and composite entities in two of three data sets. since fuzzybio improves performance for some data sets and the conversion from biohd to fuzzybio is straightforward, we recommend investigating which is more effective for any data set containing discontinuous entities."",",medical domain,entity recognit,challeng
" ""Biomedical Data-to-Text Generation via Fine-Tuning Transformers"","," ""data-to-text (d2t) generation in the biomedical domain is a promising - yet mostly unexplored - field of research. here, we apply neural models for d2t generation to a real-world dataset consisting of package leaflets of european medicines. we show that fine-tuned transformers are able to generate realistic, multi-sentence text from data in the biomedical domain, yet have important limitations. we also release a new dataset (bioleaflets) for benchmarking d2t generation models in the biomedical domain."",",medical domain,generat,benchmark
" ""Knowledge-Guided Paraphrase Identification"","," ""paraphrase identification (pi), a fundamental task in natural language processing, is to identify whether two sentences express the same or similar meaning, which is a binary classification problem. recently, bert-like pre-trained language models have been a popular choice for the frameworks of various pi models, but almost all existing methods consider general domain text. when these approaches are applied to a specific domain, existing models cannot make accurate predictions due to the lack of professional knowledge. in light of this challenge, we propose a novel framework, namely , which can leverage the external unstructured wikipedia knowledge to accurately identify paraphrases. we propose to mine outline knowledge of concepts related to given sentences from wikipedia via bm25 model. after retrieving related outline knowledge, makes predictions based on both the semantic information of two sentences and the outline knowledge. besides, we propose a gating mechanism to aggregate the semantic information-based prediction and the knowledge-based prediction. extensive experiments are conducted on two public datasets: parade (a computer science domain dataset) and clinicalsts2019 (a biomedical domain dataset). the results show that the proposed outperforms state-of-the-art methods."",",medical domain,natural language process,challeng
" ""Cross-Domain Data Integration for Named Entity Disambiguation in Biomedical Text"","," ""named entity disambiguation (ned), which involves mapping textual mentions to structured entities, is particularly challenging in the medical domain due to the presence of rare entities. existing approaches are limited by the presence of coarse-grained structural resources in biomedical knowledge bases as well as the use of training datasets that provide low coverage over uncommon resources. in this work, we address these issues by proposing a cross-domain data integration method that transfers structural knowledge from a general text knowledge base to the medical domain. we utilize our integration scheme to augment structural resources and generate a large biomedical ned dataset for pretraining. our pretrained model with injected structural knowledge achieves state-of-the-art performance on two benchmark medical ned datasets: medmentions and bc5cdr. furthermore, we improve disambiguation of rare entities by up to 57 accuracy points."",",medical domain,generat,challeng
" ""{C}o{PHE}: A Count-Preserving Hierarchical Evaluation Metric in Large-Scale Multi-Label Text Classification"","," ""large-scale multi-label text classification (lmtc) includes tasks with hierarchical label spaces, such as automatic assignment of icd-9 codes to discharge summaries. performance of models in prior art is evaluated with standard precision, recall, and f1 measures without regard for the rich hierarchical structure. in this work we argue for hierarchical evaluation of the predictions of neural lmtc models. with the example of the icd-9 ontology we describe a structural issue in the representation of the structured label space in prior art, and propose an alternative representation based on the depth of the ontology. we propose a set of metrics for hierarchical evaluation using the depth-based representation. we compare the evaluation scores from the proposed metrics with previously used metrics on prior art lmtc models for icd-9 coding in mimic-iii. we also propose further avenues of research involving the proposed ontological representation."",",discharge summar,summar,evalu
" ""Biomedical Concept Normalization by Leveraging Hypernyms"","," ""biomedical concept normalization (bcn) is widely used in biomedical text processing as a fundamental module. owing to numerous surface variants of biomedical concepts, bcn still remains challenging and unsolved. in this paper, we exploit biomedical concept hypernyms to facilitate bcn. we propose biomedical concept normalizer with hypernyms (bcnh), a novel framework that adopts list-wise training to make use of both hypernyms and synonyms, and also employs norm constraint on the representation of hypernym-hyponym entity pairs. the experimental results show that bcnh outperforms the previous state-of-the-art model on the ncbi dataset."",",medical text,concept norm,challeng
" ""Incorporating medical knowledge in {BERT} for clinical relation extraction"","," ""in recent years pre-trained language models (plm) such as bert have proven to be very effective in diverse nlp tasks such as information extraction, sentiment analysis and question answering. trained with massive general-domain text, these pre-trained language models capture rich syntactic, semantic and discourse information in the text. however, due to the differences between general and specific domain text (e.g., wikipedia versus clinic notes), these models may not be ideal for domain-specific tasks (e.g., extracting clinical relations). furthermore, it may require additional medical knowledge to understand clinical text properly. to solve these issues, in this research, we conduct a comprehensive examination of different techniques to add medical knowledge into a pre-trained bert model for clinical relation extraction. our best model outperforms the state-of-the-art systems on the benchmark i2b2/va 2010 clinical relation extraction dataset."",",clinical text,nlp,benchmark
" ""{MS}{\^{}}2: Multi-Document Summarization of Medical Studies"","," ""to assess the effectiveness of any medical intervention, researchers must conduct a time-intensive and manual literature review. nlp systems can help to automate or assist in parts of this expensive process. in support of this goal, we release ms{\^{}}2 (multi-document summarization of medical studies), a dataset of over 470k documents and 20k summaries derived from the scientific literature. this dataset facilitates the development of systems that can assess and aggregate contradictory evidence across multiple studies, and is the first large-scale, publicly available multi-document summarization dataset in the biomedical domain. we experiment with a summarization system based on bart, with promising early results, though significant work remains to achieve higher summarization quality. we formulate our summarization inputs and targets in both free text and structured forms and modify a recently proposed metric to assess the quality of our system{'}s generated summaries. data and models are available at \url{https://github.com/allenai/ms2}."",",medical domain,nlp,assess
" ""Clinical Outcome Prediction from Admission Notes using Self-Supervised Knowledge Integration"","," ""outcome prediction from clinical text can prevent doctors from overlooking possible risks and help hospitals to plan capacities. we simulate patients at admission time, when decision support can be especially valuable, and contribute a novel *admission to discharge* task with four common outcome prediction targets: diagnoses at discharge, procedures performed, in-hospital mortality and length-of-stay prediction. the ideal system should infer outcomes based on symptoms, pre-conditions and risk factors of a patient. we evaluate the effectiveness of language models to handle this scenario and propose *clinical outcome pre-training* to integrate knowledge about patient outcomes from multiple public sources. we further present a simple method to incorporate icd code hierarchy into the models. we show that our approach improves performance on the outcome tasks against several baselines. a detailed analysis reveals further strengths of the model, including transferability, but also weaknesses such as handling of vital values and inconsistencies in the underlying data."",",clinical text,infer,evalu
" ""{BERT} Prescriptions to Avoid Unwanted Headaches: A Comparison of Transformer Architectures for Adverse Drug Event Detection"","," ""pretrained transformer-based models, such as bert and its variants, have become a common choice to obtain state-of-the-art performances in nlp tasks. in the identification of adverse drug events (ade) from social media texts, for example, bert architectures rank first in the leaderboard. however, a systematic comparison between these models has not yet been done. in this paper, we aim at shedding light on the differences between their performance analyzing the results of 12 models, tested on two standard benchmarks. spanbert and pubmedbert emerged as the best models in our evaluation: this result clearly shows that span-based pretraining gives a decisive advantage in the precise recognition of ades, and that in-domain language pretraining is particularly useful when the transformer model is trained just on biomedical text from scratch."",",medical text,nlp,benchmark
" ""Coreference Resolution for the Biomedical Domain: A Survey"","," ""issues with coreference resolution are one of the most frequently mentioned challenges for information extraction from the biomedical literature. thus, the biomedical genre has long been the second most researched genre for coreference resolution after the news domain, and the subject of a great deal of research for nlp in general. in recent years this interest has grown enormously leading to the development of a number of substantial datasets, of domain-specific contextual language models, and of several architectures. in this paper we review the state of-the-art of coreference in the biomedical domain with a particular attention on these most recent developments."",",medical domain,nlp,challeng
" ""Overview of the {MEDIQA} 2021 Shared Task on Summarization in the Medical Domain"","," ""the mediqa 2021 shared tasks at the bionlp 2021 workshop addressed three tasks on summarization for medical text: (i) a question summarization task aimed at exploring new approaches to understanding complex real-world consumer health queries, (ii) a multi-answer summarization task that targeted aggregation of multiple relevant answers to a biomedical question into one concise and relevant answer, and (iii) a radiology report summarization task addressing the development of clinically relevant impressions from radiology report findings. thirty-five teams participated in these shared tasks with sixteen working notes submitted (fifteen accepted) describing a wide variety of models developed and tested on the shared and external datasets. in this paper, we describe the tasks, the datasets, the models and techniques developed by various teams, the results of the evaluation, and a study of correlations among various summarization evaluation measures. we hope that these shared tasks will bring new research and insights in biomedical text summarization and evaluation."",",medical text,nlp,shared task
" ""Stress Test Evaluation of Biomedical Word Embeddings"","," ""the success of pretrained word embeddings has motivated their use in the biomedical domain, with contextualized embeddings yielding remarkable results in several biomedical nlp tasks. however, there is a lack of research on quantifying their behavior under severe {``}stress{''} scenarios. in this work, we systematically evaluate three language models with adversarial examples {--} automatically constructed tests that allow us to examine how robust the models are. we propose two types of stress scenarios focused on the biomedical named entity recognition (ner) task, one inspired by spelling errors and another based on the use of synonyms for medical terms. our experiments with three benchmarks show that the performance of the original models decreases considerably, in addition to revealing their weaknesses and strengths. finally, we show that adversarial training causes the models to improve their robustness and even to exceed the original performance in some cases."",",medical domain,nlp,benchmark
" ""{BLAR}: Biomedical Local Acronym Resolver"","," ""nlp has emerged as an essential tool to extract knowledge from the exponentially increasing volumes of biomedical texts. many nlp tasks, such as named entity recognition and named entity normalization, are especially challenging in the biomedical domain partly because of the prolific use of acronyms. long names for diseases, bacteria, and chemicals are often replaced by acronyms. we propose biomedical local acronym resolver (blar), a high-performing acronym resolver that leverages state-of-the-art (sota) pre-trained language models to accurately resolve local acronyms in biomedical texts. we test blar on the ab3p corpus and achieve state-of-the-art results compared to the current best-performing local acronym resolution algorithms and models."",",medical domain,nlp,challeng
" ""{B}io{ELECTRA}:Pretrained Biomedical text Encoder using Discriminators"","," ""recent advancements in pretraining strategies in nlp have shown a significant improvement in the performance of models on various text mining tasks. we apply {`}replaced token detection{'} pretraining technique proposed by electra and pretrain a biomedical language model from scratch using biomedical text and vocabulary. we introduce bioelectra, a biomedical domain-specific language encoder model that adapts electra for the biomedical domain. we evaluate our model on the blurb and blue biomedical nlp benchmarks. bioelectra outperforms the previous models and achieves state of the art (sota) on all the 13 datasets in blurb benchmark and on all the 4 clinical datasets from blue benchmark across 7 different nlp tasks. bioelectra pretrained on pubmed and pmc full text articles performs very well on clinical datasets as well. bioelectra achieves new sota 86.34{\%}(1.39{\%} accuracy improvement) on mednli and 64{\%} (2.98{\%} accuracy improvement) on pubmedqa dataset."",",medical domain,nlp,benchmark
" ""Improving Biomedical Pretrained Language Models with Knowledge"","," ""pretrained language models have shown success in many natural language processing tasks. many works explore to incorporate the knowledge into the language models. in the biomedical domain, experts have taken decades of effort on building large-scale knowledge bases. for example, umls contains millions of entities with their synonyms and defines hundreds of relations among entities. leveraging this knowledge can benefit a variety of downstream tasks such as named entity recognition and relation extraction. to this end, we propose kebiolm, a biomedical pretrained language model that explicitly leverages knowledge from the umls knowledge bases. specifically, we extract entities from pubmed abstracts and link them to umls. we then train a knowledge-aware language model that firstly applies a text-only encoding layer to learn entity representation and then applies a text-entity fusion encoding to aggregate entity representation. in addition, we add two training objectives as entity detection and entity linking. experiments on the named entity recognition and relation extraction tasks from the blurb benchmark demonstrate the effectiveness of our approach. further analysis on a collected probing dataset shows that our model has better ability to model medical knowledge."",",medical domain,natural language process,benchmark
" ""{E}ntity{BERT}: Entity-centric Masking Strategy for Model Pretraining for the Clinical Domain"","," ""transformer-based neural language models have led to breakthroughs for a variety of natural language processing (nlp) tasks. however, most models are pretrained on general domain data. we propose a methodology to produce a model focused on the clinical domain: continued pretraining of a model with a broad representation of biomedical terminology (pubmedbert) on a clinical corpus along with a novel entity-centric masking strategy to infuse domain knowledge in the learning process. we show that such a model achieves superior results on clinical extraction tasks by comparing our entity-centric masking strategy with classic random masking on three clinical nlp tasks: cross-domain negation detection, document time relation (doctimerel) classification, and temporal relation extraction. we also evaluate our models on the pubmedqa dataset to measure the models{'} performance on a non-entity-centric task in the biomedical domain. the language addressed in this work is english."",",clinical domain,natural language process,evalu
" ""{UCSD}-Adobe at {MEDIQA} 2021: Transfer Learning and Answer Sentence Selection for Medical Summarization"","," ""in this paper, we describe our approach to question summarization and multi-answer summarization in the context of the 2021 mediqa shared task (ben abacha et al., 2021). we propose two kinds of transfer learning for the abstractive summarization of medical questions. first, we train on healthcaremagic, a large question summarization dataset collected from an online healthcare service platform. second, we leverage the ability of the bart encoder-decoder architecture to model both generation and classification tasks to train on the task of recognizing question entailment (rqe) in the medical domain. we show that both transfer learning methods combined achieve the highest rouge scores. finally, we cast the question-driven extractive summarization of multiple relevant answer documents as an answer sentence selection (as2) problem. we show how we can preprocess the mediqa-ans dataset such that it can be trained in an as2 setting. our as2 model is able to generate extractive summaries achieving high rouge scores."",",medical domain,generat,shared task
" ""Domain adaptation in practice: Lessons from a real-world information extraction pipeline"","," ""advances in transfer learning and domain adaptation have raised hopes that once-challenging nlp tasks are ready to be put to use for sophisticated information extraction needs. in this work, we describe an effort to do just that {--} combining state-of-the-art neural methods for negation detection, document time relation extraction, and aspectual link prediction, with the eventual goal of extracting drug timelines from electronic health record text. we train on the thyme colon cancer corpus and test on both the thyme brain cancer corpus and an internal corpus, and show that performance of the combined systems is unacceptable despite good performance of individual systems. although domain adaptation shows improvements on each individual system, the model selection problem is a barrier to improving overall pipeline performance."",",electronic health record,nlp,challeng
" ""Entity Enhancement for Implicit Discourse Relation Classification in the Biomedical Domain"","," ""implicit discourse relation classification is a challenging task, in particular when the text domain is different from the standard penn discourse treebank (pdtb; prasad et al., 2008) training corpus domain (wall street journal in 1990s). we here tackle the task of implicit discourse relation classification on the biomedical domain, for which the biomedical discourse relation bank (biodrb; prasad et al., 2011) is available. we show that entity information can be used to improve discourse relational argument representation. in a first step, we show that explicitly marked instances that are content-wise similar to the target relations can be used to achieve good performance in the cross-domain setting using a simple unsupervised voting pipeline. as a further step, we show that with the linked entity information from the first step, a transformer which is augmented with entity-related information (kbert; liu et al., 2020) sets the new state of the art performance on the dataset, outperforming the large pre-trained biobert (lee et al., 2020) model by 2{\%} points."",",medical domain,relation classif,challeng
" ""{M}ed{NLI} Is Not Immune: {N}atural Language Inference Artifacts in the Clinical Domain"","," ""crowdworker-constructed natural language inference (nli) datasets have been found to contain statistical artifacts associated with the annotation process that allow hypothesis-only classifiers to achieve better-than-random performance (citation). we investigate whether mednli, a physician-annotated dataset with premises extracted from clinical notes, contains such artifacts (citation). we find that entailed hypotheses contain generic versions of specific concepts in the premise, as well as modifiers related to responsiveness, duration, and probability. neutral hypotheses feature conditions and behaviors that co-occur with, or cause, the condition(s) in the premise. contradiction hypotheses feature explicit negation of the premise and implicit negation via assertion of good health. adversarial filtering demonstrates that performance degrades when evaluated on the \textit{difficult} subset. we provide partition information and recommendations for alternative dataset construction strategies for knowledge-intensive domains."",",clinical not,natural languag,annotat
" ""{CLIP}: A Dataset for Extracting Action Items for Physicians from Hospital Discharge Notes"","," ""continuity of care is crucial to ensuring positive health outcomes for patients discharged from an inpatient hospital setting, and improved information sharing can help. to share information, caregivers write discharge notes containing action items to share with patients and their future caregivers, but these action items are easily lost due to the lengthiness of the documents. in this work, we describe our creation of a dataset of clinical action items annotated over mimic-iii, the largest publicly available dataset of real clinical notes. this dataset, which we call clip, is annotated by physicians and covers 718 documents representing 100k sentences. we describe the task of extracting the action items from these documents as multi-aspect extractive summarization, with each aspect representing a type of action to be taken. we evaluate several machine learning models on this task, and show that the best models exploit in-domain language model pre-training on 59k unannotated documents, and incorporate context from neighboring sentences. we also propose an approach to pre-training data selection that allows us to explore the trade-off between size and domain-specificity of pre-training datasets for this task."",",clinical not,summar,annotat
" ""A Gradually Soft Multi-Task and Data-Augmented Approach to Medical Question Understanding"","," ""users of medical question answering systems often submit long and detailed questions, making it hard to achieve high recall in answer retrieval. to alleviate this problem, we propose a novel multi-task learning (mtl) method with data augmentation for medical question understanding. we first establish an equivalence between the tasks of question summarization and recognizing question entailment (rqe) using their definitions in the medical domain. based on this equivalence, we propose a data augmentation algorithm to use just one dataset to optimize for both tasks, with a weighted mtl loss. we introduce gradually soft parameter-sharing: a constraint for decoder parameters to be close, that is gradually loosened as we move to the highest layer. we show through ablation studies that our proposed novelties improve performance. our method outperforms existing mtl methods across 4 datasets of medical question pairs, in rouge scores, rqe accuracy and human evaluation. finally, we show that our method fares better than single-task learning under 4 low-resource settings."",",medical domain,summar,evalu
" ""Few-Shot Text Ranking with Meta Adapted Synthetic Weak Supervision"","," ""the effectiveness of neural information retrieval (neu-ir) often depends on a large scale of in-domain relevance training signals, which are not always available in real-world ranking scenarios. to democratize the benefits of neu-ir, this paper presents metaadaptrank, a domain adaptive learning method that generalizes neu-ir models from label-rich source domains to few-shot target domains. drawing on source-domain massive relevance supervision, metaadaptrank contrastively synthesizes a large number of weak supervision signals for target domains and meta-learns to reweight these synthetic {``}weak{''} data based on their benefits to the target-domain ranking accuracy of neu-ir models. experiments on three trec benchmarks in the web, news, and biomedical domains show that metaadaptrank significantly improves the few-shot ranking accuracy of neu-ir models. further analyses indicate that metaadaptrank thrives from both its contrastive weak data synthesis and meta-reweighted data selection. the code and data of this paper can be obtained from \url{https://github.com/thunlp/metaadaptrank}."",",medical domain,nlp,benchmark
" ""Cross-modal Memory Networks for Radiology Report Generation"","," ""medical imaging plays a significant role in clinical practice of medical diagnosis, where the text reports of the images are essential in understanding them and facilitating later treatments. by generating the reports automatically, it is beneficial to help lighten the burden of radiologists and significantly promote clinical automation, which already attracts much attention in applying artificial intelligence to medical domain. previous studies mainly follow the encoder-decoder paradigm and focus on the aspect of text generation, with few studies considering the importance of cross-modal mappings and explicitly exploit such mappings to facilitate radiology report generation. in this paper, we propose a cross-modal memory networks (cmn) to enhance the encoder-decoder framework for radiology report generation, where a shared memory is designed to record the alignment between images and texts so as to facilitate the interaction and generation across modalities. experimental results illustrate the effectiveness of our proposed model, where state-of-the-art performance is achieved on two widely used benchmark datasets, i.e., iu x-ray and mimic-cxr. further analyses also prove that our model is able to better align information from radiology images and texts so as to help generating more accurate reports in terms of clinical indicators."",",medical domain,generat,benchmark
" ""Joint Biomedical Entity and Relation Extraction with Knowledge-Enhanced Collective Inference"","," ""compared to the general news domain, information extraction (ie) from biomedical text requires much broader domain knowledge. however, many previous ie methods do not utilize any external knowledge during inference. due to the exponential growth of biomedical publications, models that do not go beyond their fixed set of parameters will likely fall behind. inspired by how humans look up relevant information to comprehend a scientific text, we present a novel framework that utilizes external knowledge for joint entity and relation extraction named keci (knowledge-enhanced collective inference). given an input text, keci first constructs an initial span graph representing its initial understanding of the text. it then uses an entity linker to form a knowledge graph containing relevant background knowledge for the the entity mentions in the text. to make the final predictions, keci fuses the initial span graph and the knowledge graph into a more refined graph using an attention mechanism. keci takes a collective approach to link mention spans to entities by integrating global relational information into local representations using graph convolutional networks. our experimental results show that the framework is highly effective, achieving new state-of-the-art results in two different benchmark datasets: biorelex (binding interaction detection) and ade (adverse drug event extraction). for example, keci achieves absolute improvements of 4.59{\%} and 4.91{\%} in f1 scores over the state-of-the-art on the biorelex entity and relation extraction tasks"",",medical text,infer,benchmark
" ""Elhuyar submission to the Biomedical Translation Task 2020 on terminology and abstracts translation"","," ""this article describes the systems submitted by elhuyar to the 2020 biomedical translation shared task, specifically the systems presented in the subtasks of terminology translation for english-basque and abstract translation for english-basque and english-spanish. in all cases a transformer architecture was chosen and we studied different strategies to combine open domain data with biomedical domain data for building the training corpora. for the english-basque pair, given the scarcity of parallel corpora in the biomedical domain, we set out to create domain training data in a synthetic way. the systems presented in the terminology and abstract translation subtasks for the english-basque language pair ranked first in their respective tasks among four participants, achieving 0.78 accuracy for terminology translation and a bleu of 0.1279 for the translation of abstracts. in the abstract translation task for the english-spanish pair our team ranked second (bleu",medical domain,translat,shared task
" ""Ixamed{'}s submission description for {WMT}20 Biomedical shared task: benefits and limitations of using terminologies for domain adaptation"","," ""in this paper we describe the systems developed at ixa for our participation in wmt20 biomedical shared task in three language pairs, en-eu, en-es and es-en. when defining our approach, we have put the focus on making an efficient use of corpora recently compiled for training machine translation (mt) systems to translate covid-19 related text, as well as reusing previously compiled corpora and developed systems for biomedical or clinical domain. regarding the techniques used, we base on the findings from our previous works for translating clinical texts into basque, making use of clinical terminology for adapting the mt systems to the clinical domain. however, after manually inspecting some of the outputs generated by our systems, for most of the submissions we end up using the system trained only with the basic corpus, since the systems including the clinical terminologies generated outputs shorter in length than the corresponding references. thus, we present simple baselines for translating abstracts between english and spanish (en/es); while for translating abstracts and terms from english into basque (en-eu), we concatenate the best en-es system for each kind of text with our es-eu system. we present automatic evaluation results in terms of bleu scores, and analyse the effect of including clinical terminology on the average sentence length of the generated outputs. following the recent recommendations for a responsible use of gpus for nlp research, we include an estimation of the generated co2 emissions, based on the power consumed for training the mt systems."",",clinical domain,translat,shared task
" ""Improving Medical {NLI} Using Context-Aware Domain Knowledge"","," ""domain knowledge is important to understand both the lexical and relational associations of words in natural language text, especially for domain-specific tasks like natural language inference (nli) in the medical domain, where due to the lack of a large annotated dataset such knowledge cannot be implicitly learned during training. however, because of the linguistic idiosyncrasies of clinical texts (e.g., shorthand jargon), solely relying on domain knowledge from an external knowledge base (e.g., umls) can lead to wrong inference predictions as it disregards contextual information and, hence, does not return the most relevant mapping. to remedy this, we devise a knowledge adaptive approach for medical nli that encodes the premise/hypothesis texts by leveraging supplementary external knowledge, alongside the umls, based on the word contexts. by incorporating refined domain knowledge at both the lexical and relational levels through a multi-source attention mechanism, it is able to align the token-level interactions between the premise and hypothesis more effectively. comprehensive experiments and case study on the recently released mednli dataset are conducted to validate the effectiveness of the proposed approach."",",medical domain,natural languag,annotat
" ""On the effectiveness of small, discriminatively pre-trained language representation models for biomedical text mining"","," ""neural language representation models such as bert have recently shown state of the art performance in downstream nlp tasks and bio-medical domain adaptation of bert (bio-bert) has shown same behavior on biomedical text mining tasks. however, due to their large model size and resulting increased computational need, practical application of models such as bert is challenging making smaller models with comparable performance desirable for real word applications. recently, a new language transformers based language representation model named electra is introduced, that makes efficient usage of training data in a generative-discriminative neural model setting that shows performance gains over bert. these gains are especially impressive for smaller models. here, we introduce two small electra based model named bio-electra and bio-electra++ that are eight times smaller than bert base and bio-bert and achieves comparable or better performance on biomedical question answering, yes/no question answer classification, question answer candidate ranking and relation extraction tasks. bio-electra is pre-trained from scratch on pubmed abstracts using a consumer grade gpu with only 8gb memory. bio-electra++ is the further pre-trained version of bio-electra trained on a corpus of open access full papers from pubmed central. while, for biomedical named entity recognition, large bert base model outperforms bio-electra++, bio-electra and electra-small++, with hyperparameter tuning bio-electra++ achieves results comparable to bert."",",medical domain,nlp,challeng
" ""{C}omp{L}ex {---} A New Corpus for Lexical Complexity Prediction from {L}ikert {S}cale Data"","," ""predicting which words are considered hard to understand for a given target population is a vital step in many nlp applications such astext simplification. this task is commonly referred to as complex word identification (cwi). with a few exceptions, previous studieshave approached the task as a binary classification task in which systems predict a complexity value (complex vs. non-complex) fora set of target words in a text. this choice is motivated by the fact that all cwi datasets compiled so far have been annotated using abinary annotation scheme. our paper addresses this limitation by presenting the first english dataset for continuous lexical complexityprediction. we use a 5-point likert scale scheme to annotate complex words in texts from three sources/domains: the bible, europarl,and biomedical texts. this resulted in a corpus of 9,476 sentences each annotated by around 7 annotators."",",medical text,nlp,annotat
" ""Robust Prediction of Punctuation and Truecasing for Medical {ASR}"","," ""automatic speech recognition (asr) systems in the medical domain that focus on transcribing clinical dictations and doctor-patient conversations often pose many challenges due to the complexity of the domain. asr output typically undergoes automatic punctuation to enable users to speak naturally, without having to vocalize awkward and explicit punctuation commands, such as {``}period{''}, {``}add comma{''} or {``}exclamation point{''}, while truecasing enhances user readability and improves the performance of downstream nlp tasks. this paper proposes a conditional joint modeling framework for prediction of punctuation and truecasing using pretrained masked language models such as bert, biobert and roberta. we also present techniques for domain and task specific adaptation by fine-tuning masked language models with medical domain data. finally, we improve the robustness of the model against common errors made in asr by performing data augmentation. experiments performed on dictation and conversational style corpora show that our proposed model achieves 5{\%} absolute improvement on ground truth text and 10{\%} improvement on asr outputs over baseline models under f1 metric."",",medical domain,nlp,challeng
" ""Answering Questions on {COVID}-19 in Real-Time"","," ""the recent outbreak of the novel coronavirus is wreaking havoc on the world and researchers are struggling to effectively combat it. one reason why the fight is difficult is due to the lack of information and knowledge. in this work, we outline our effort to contribute to shrinking this knowledge vacuum by creating covidask, a question answering (qa) system that combines biomedical text mining and qa techniques to provide answers to questions in real-time. our system also leverages information retrieval (ir) approaches to provide entity-level answers that are complementary to qa models. evaluation of covidask is carried out by using a manually created dataset called covid-19 questions which is based on information from various sources, including the cdc and the who. we hope our system will be able to aid researchers in their search for knowledge and information not only for covid-19, but for future pandemics as well."",",medical text,information retriev,evalu
